Srl,Full Name,Block,Item /Col.,Field Length,Byte Position (Start),Byte Position (End),Field_Name,Remarks
44,Whether Engaged In Any Work In Subsidiary Capacity,5.1,7,1,89,89,has_sas,
45,(Principal)location Of Workplace Code,5.1,8,2,90,91,loc_pas,
46,(Principal) Enterprise Type Code,5.1,9,2,92,93,etyp_pas,
47,(Principal) No. Of Workers In The Enterprise,5.1,10,1,94,94,wrkr_pas,
48,(Principal)  Type Of Job Contract,5.1,11,1,95,95,job_pas,
49,(Principal) Eligble Of Paid Leave,5.1,12,1,96,96,leave_pas,
50,(Principal) Social Security Benefits,5.1,13,1,97,97,ssec_pas,
51,(Principal) Usage of product of the economic activity,5.1,14,1,98,98,ecoprd_pas,
52,Status Code,5.2,3,2,99,100,sas,
53,Industry Code (NIC),5.2,5,5,101,105,ind_sas,
54,Occupation Code (NCO),5.2,6,3,106,108,ocu_sas,
55,(Subsidiary) location Of Workplace Code,5.2,7,2,109,110,loc_sas,
56,(Subsidiary)  Enterprise Type Code,5.2,8,2,111,112,etyp_sas,
57,(Subsidiary)  No. Of Workers In The Enterprise,5.2,9,1,113,113,wrkr_sas,
58,(Subsidiary)   Type Of Job Contract,5.2,10,1,114,114,job_sas,
59,(Subsidiary)  Eligble Of Paid Leave,5.2,11,1,115,115,leave_sas,
60,(Subsidiary)  Social Security Benefits,5.2,12,1,116,116,ssec_sas,
61,(Subsidiary) Usage of product of the economic activity,5.2,13,1,117,117,ecoprd_sas,
62,Ever Worked Prior to last 365 days,5.3,5,1,118,118,wrk_365,
63,Duration of engagement in the economic activity in usual Principal Activity Status,5.3,6,1,119,119,dur_pas,
64,Duration of engagement in the economic activity in Subsidiary Activity Status,5.3,7,1,120,120,dur_sas,
65,Efforts undertaken to search work,5.3,8,1,121,121,eff_pas,
66,Duration of spell of Unemployment,5.3,9,1,122,122,dur_unp,
67,Whether Ever Worked ,5.3,10,1,123,123,evr_wrk,
68, Reason for not working in last 365 days,5.3,11,2,124,125,rea_nw,
69,Main reason for being in Principal activity status (91 to 97) ,5.3,12,1,126,126,rea,
70,Status Code for activity 1,6.0,4/3.1,2,127,128,das17,
71,Industry Code (NIC) for activity 1,6.0,5/3.1,2,129,130,ind17,
72,hours actuallly worked for activity 1 on 7 th day,6.0,6/3.1,2,131,132,hr17,
73,wage earning for activity 1 on 7 th day,6.0,9/3.1,5,133,137,ern17,
74,Status Code for activity 2,6.0,4/3.1,2,138,139,das27,
75,Industry Code (NIC) for activity 2,6.0,5/3.1,2,140,141,ind27,
76,hours actuallly worked for activity 2 on 7 th day,6.0,6/3.1,2,142,143,hr27,
77,wage earning for activity 2 on 7 th day,6.0,9/3.1,5,144,148,ern27,
78,total hours actually worked on 7th day,6.0,7/3.1,2,149,150,hr7,
79,hours available for aditional worked on 7th day,6.0,8/3.1,2,151,152,ahr7,
80,Status Code for activity 1,6.0,4/3.2,2,153,154,das16,
81,Industry Code (NIC) for activity 1,6.0,5/3.2,2,155,156,ind16,
82,hours actuallly worked for activity 1 on 6 th day,6.0,6/3.2,2,157,158,hr16,
83,wage earning for activity 1 on 7 th day,6.0,9/3.2,5,159,163,ern16,
84,Status Code for activity 2,6.0,4/3.2,2,164,165,das26,
85,Industry Code (NIC) for activity 2,6.0,5/3.2,2,166,167,ind26,
86,hours actuallly worked for activity 2 on 6 th day,6.0,6/3.2,2,168,169,hr26,
87,wage earning for activity 2 on 6 th day,6.0,9/3.2,5,170,174,ern26,
88,total hours actually worked on 6th day,6.0,7/3.2,2,175,176,hr6,
89,hours available for aditional worked on 6th day,6.0,8/3.2,2,177,178,ahr6,
90,Status Code for activity 1,6.0,4/3.3,2,179,180,das15,
91,Industry Code (NIC) for activity 1,6.0,5/3.3,2,181,182,ind15,
92,hours actuallly worked for activity 1 on5 th day,6.0,6/3.3,2,183,184,hr15,
93,wage earning for activity 1 on 5 th day,6.0,9/3.3,5,185,189,ern15,
94,Status Code for activity 2,6.0,4/3.3,2,190,191,das25,
95,Industry Code (NIC) for activity 2,6.0,5/3.3,2,192,193,ind25,
96,hours actuallly worked for activity 2 on 5 th day,6.0,6/3.3,2,194,195,hr25,
97,wage earning for activity 2 on 5 th day,6.0,9/3.3,5,196,200,ern25,
98,total hours actually worked on 5th day,6.0,7/3.3,2,201,202,hr5,
99,hours available for aditional worked on 5th day,6.0,8/3.3,2,203,204,ahr5,
100,Status Code for activity 1,6.0,4/3.4,2,205,206,das14,
101,Industry Code (NIC) for activity 1,6.0,5/3.4,2,207,208,ind14,
102,hours actuallly worked for activity 1 on 4th day,6.0,6/3.4,2,209,210,hr14,
103,wage earning for activity 1 on 4th day,6.0,9/3.4,5,211,215,ern14,
104,Status Code for activity 2,6.0,4/3.4,2,216,217,das24,
105,Industry Code (NIC) for activity 2,6.0,5/3.4,2,218,219,ind24,
106,hours actuallly worked for activity 2 on 4th day,6.0,6/3.4,2,220,221,hr24,
107,wage earning for activity 2 on 4th day,6.0,9/3.4,5,222,226,ern24,
108,total hours actually worked on 4th day,6.0,7/3.4,2,227,228,hr4,
109,hours available for aditional worked on 4th day,6.0,8/3.4,2,229,230,ahr4,
110,Status Code for activity 1,6.0,4/3.5,2,231,232,das13,
111,Industry Code (NIC) for activity 1,6.0,5/3.5,2,233,234,ind13,
112,hours actuallly worked for activity 1 on 3rd day,6.0,6/3.5,2,235,236,hr13,
113,wage earning for activity 1 on 3rd day,6.0,9/3.5,5,237,241,ern13,
114,Status Code for activity 2,6.0,4/3.5,2,242,243,das23,
115,Industry Code (NIC) for activity 2,6.0,5/3.5,2,244,245,ind23,
116,hours actuallly worked for activity 2 on 3rd day,6.0,6/3.5,2,246,247,hr23,
117,wage earning for activity 2 on 3 rd day,6.0,9/3.5,5,248,252,ern23,
118,total hours actually worked on 3rd day,6.0,7/3.5,2,253,254,hr3,
119,hours available for aditional worked on 3rd day,6.0,8/3.5,2,255,256,ahr3,
120,Status Code for activity 1,6.0,4/3.6,2,257,258,das12,
121,Industry Code (NIC) for activity 1,6.0,5/3.6,2,259,260,ind12,
122,hours actuallly worked for activity 1 on 2nd day,6.0,6/3.6,2,261,262,hr12,
123,wage earning for activity 1 on 2nd day,6.0,9/3.6,5,263,267,ern12,
124,Status Code for activity 2,6.0,4/3.6,2,268,269,das22,
125,Industry Code (NIC) for activity 2,6.0,5/3.6,2,270,271,ind22,
126,hours actuallly worked for activity 2 on 2nd day,6.0,6/3.6,2,272,273,hr22,
127,wage earning for activity 2 on 2nd day,6.0,9/3.6,5,274,278,ern22,
128,total hours actually worked on 2nd day,6.0,7/3.6,2,279,280,hr2,
129,hours available for aditional worked on 2nd day,6.0,8/3.6,2,281,282,ahr2,
130,Status Code for activity 1,6.0,4/3.7,2,283,284,das11,
131,Industry Code (NIC) for activity 1,6.0,5/3.7,2,285,286,ind11,
132,hours actuallly worked for activity 1 on 1st day,6.0,6/3.7,2,287,288,hr11,
133,wage earning for activity 1 on 1st day,6.0,9/3.7,5,289,293,ern11,
134,Status Code for activity 2,6.0,4/3.7,2,294,295,das21,
135,Industry Code (NIC) for activity 2,6.0,5/3.7,2,296,297,ind21,
136,hours actuallly worked for activity 2 on 1st day,6.0,6/3.7,2,298,299,hr21,
137,wage earning for activity 2 on 1st day,6.0,9/3.7,5,300,304,ern21,
138,total hours actually worked on 1st day,6.0,7/3.7,2,305,306,hr1,
139,hours available for aditional worked on 1st day,6.0,8/3.7,2,307,308,ahr1,
140,total hours actually worked during the week,6.0,4 (7),3,309,311,tothrs_wrk,
141,total hours available for additional work,6.0,4 (8),3,312,314,totadl_wrk,
142,Current Weekly Status (CWS),6.0,5,2,315,316,acws,
143,Industry Code (CWS),6.0,6,2,317,318,aind_cws,
144,Occupation Code (CWS),6.0,7,3,319,321,ocu_cws,
145,Earnings For Regular Salaried/Wage Activity,6.0,9,8,322,329,ern_reg,
146,Earnings For Self Employed,6.0,10,8,330,337,ern_self,
147,Ns count (# of FSUs surveyed) for sector x stratum x group x substratum,,,3,338,340,nsc,
148,Multiplier,,,10,341,350,mult,
149,Total Sub-Division,,,3,351,353,totalsd,
150,Stratum size,,,10,354,363,zst,
151,Number of listed households,,,4,364,367,caph,
152,Number of selected households,,,2,368,369,smallh,
153,Panel code,,,2,370,371,panel,05' generated
