PLFS HOUSEHOLD LEVEL DATA  (FIRST VISIT) OF CALENDAR YEAR 2025,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
74,Status Code for activity 2,6,4/3.1,2,138,139.0,
75,Industry Code (NIC) for activity 2,6,5/3.1,2,140,141.0,
76,hours actuallly worked for activity 2 on 7 th day,6,6/3.1,2,142,143.0,
77,wage earning for activity 2 on 7 th day,6,9/3.1,5,144,148.0,
78,total hours actually worked on 7th day,6,7/3.1,2,149,150.0,
79,hours available for aditional worked on 7th day,6,8/3.1,2,151,152.0,
80,Status Code for activity 1,6,4/3.2,2,153,154.0,
81,Industry Code (NIC) for activity 1,6,5/3.2,2,155,156.0,
82,hours actuallly worked for activity 1 on 6 th day,6,6/3.2,2,157,158.0,
83,wage earning for activity 1 on 7 th day,6,9/3.2,5,159,163.0,
84,Status Code for activity 2,6,4/3.2,2,164,165.0,
85,Industry Code (NIC) for activity 2,6,5/3.2,2,166,167.0,
86,hours actuallly worked for activity 2 on 6 th day,6,6/3.2,2,168,169.0,
87,wage earning for activity 2 on 6 th day,6,9/3.2,5,170,174.0,
88,total hours actually worked on 6th day,6,7/3.2,2,175,176.0,
89,hours available for aditional worked on 6th day,6,8/3.2,2,177,178.0,
90,Status Code for activity 1,6,4/3.3,2,179,180.0,
91,Industry Code (NIC) for activity 1,6,5/3.3,2,181,182.0,
92,hours actuallly worked for activity 1 on5 th day,6,6/3.3,2,183,184.0,
93,wage earning for activity 1 on 5 th day,6,9/3.3,5,185,189.0,
94,Status Code for activity 2,6,4/3.3,2,190,191.0,
95,Industry Code (NIC) for activity 2,6,5/3.3,2,192,193.0,
96,hours actuallly worked for activity 2 on 5 th day,6,6/3.3,2,194,195.0,
97,wage earning for activity 2 on 5 th day,6,9/3.3,5,196,200.0,
98,total hours actually worked on 5th day,6,7/3.3,2,201,202.0,
99,hours available for aditional worked on 5th day,6,8/3.3,2,203,204.0,
100,Status Code for activity 1,6,4/3.4,2,205,206.0,
101,Industry Code (NIC) for activity 1,6,5/3.4,2,207,208.0,
102,hours actuallly worked for activity 1 on 4th day,6,6/3.4,2,209,210.0,
103,wage earning for activity 1 on 4th day,6,9/3.4,5,211,215.0,
104,Status Code for activity 2,6,4/3.4,2,216,217.0,
105,Industry Code (NIC) for activity 2,6,5/3.4,2,218,219.0,
106,hours actuallly worked for activity 2 on 4th day,6,6/3.4,2,220,221.0,
107,wage earning for activity 2 on 4th day,6,9/3.4,5,222,226.0,
108,total hours actually worked on 4th day,6,7/3.4,2,227,228.0,
109,hours available for aditional worked on 4th day,6,8/3.4,2,229,230.0,
110,Status Code for activity 1,6,4/3.5,2,231,232.0,
111,Industry Code (NIC) for activity 1,6,5/3.5,2,233,234.0,
112,hours actuallly worked for activity 1 on 3rd day,6,6/3.5,2,235,236.0,
113,wage earning for activity 1 on 3rd day,6,9/3.5,5,237,241.0,
114,Status Code for activity 2,6,4/3.5,2,242,243.0,
115,Industry Code (NIC) for activity 2,6,5/3.5,2,244,245.0,
116,hours actuallly worked for activity 2 on 3rd day,6,6/3.5,2,246,247.0,
117,wage earning for activity 2 on 3 rd day,6,9/3.5,5,248,252.0,
118,total hours actually worked on 3rd day,6,7/3.5,2,253,254.0,
119,hours available for aditional worked on 3rd day,6,8/3.5,2,255,256.0,
120,Status Code for activity 1,6,4/3.6,2,257,258.0,
121,Industry Code (NIC) for activity 1,6,5/3.6,2,259,260.0,
122,hours actuallly worked for activity 1 on 2nd day,6,6/3.6,2,261,262.0,
123,wage earning for activity 1 on 2nd day,6,9/3.6,5,263,267.0,
124,Status Code for activity 2,6,4/3.6,2,268,269.0,
125,Industry Code (NIC) for activity 2,6,5/3.6,2,270,271.0,
126,hours actuallly worked for activity 2 on 2nd day,6,6/3.6,2,272,273.0,
127,wage earning for activity 2 on 2nd day,6,9/3.6,5,274,278.0,
128,total hours actually worked on 2nd day,6,7/3.6,2,279,280.0,
129,hours available for aditional worked on 2nd day,6,8/3.6,2,281,282.0,
130,Status Code for activity 1,6,4/3.7,2,283,284.0,
131,Industry Code (NIC) for activity 1,6,5/3.7,2,285,286.0,
132,hours actuallly worked for activity 1 on 1st day,6,6/3.7,2,287,288.0,
133,wage earning for activity 1 on 1st day,6,9/3.7,5,289,293.0,
134,Status Code for activity 2,6,4/3.7,2,294,295.0,
135,Industry Code (NIC) for activity 2,6,5/3.7,2,296,297.0,
136,hours actuallly worked for activity 2 on 1st day,6,6/3.7,2,298,299.0,
137,wage earning for activity 2 on 1st day,6,9/3.7,5,300,304.0,
138,total hours actually worked on 1st day,6,7/3.7,2,305,306.0,
139,hours available for aditional worked on 1st day,6,8/3.7,2,307,308.0,
140,total hours actually worked during the week,6,4 (7),3,309,311.0,
141,total hours available for additional work,6,4 (8),3,312,314.0,
142,Current Weekly Status (CWS),6,5,2,315,316.0,
143,Industry Code (CWS),6,6,2,317,318.0,
144,Occupation Code (CWS),6,7,3,319,321.0,
145,Earnings For Regular Salaried/Wage Activity,6,9,8,322,329.0,
146,Earnings For Self Employed,6,10,8,330,337.0,
147,Ns count (# of FSUs surveyed) for sector x stratum x group x substratum,,,3,338,340.0,
148,Multiplier,,,10,341,350.0,
149,Total Sub-Division,,,3,351,353.0,"Sch. 0.0, block 4.2A, item 3"
150,Stratum size,,,10,354,363.0,
151,Number of listed households,,,4,364,367.0,"Sch. 0.0, block 6, col. 4"
152,Number of selected households,,,2,368,369.0,"Sch. 0.0, block 6, col. 5"
153,Panel code,,,2,370,371.0,05' generated
