Srl,Full Name,Block,Item /Col.,Field Length,Byte Position,Unnamed: 6,Remarks
32,Source Of Funding The Training,4.1,7,1,63,63.0,
33,Status Code,5.1,3,2,64,65.0,
34,Industry Code (NIC),5.1,5,5,66,70.0,
35,Occupation Code (NCO),5.1,6,3,71,73.0,
36,Whether Engaged In Any Work In Subsidiary Capacity,5.1,7,1,74,74.0,
37,(Principal)location Of Workplace Code,5.1,8,2,75,76.0,
38,(Principal) Enterprise Type Code,5.1,9,2,77,78.0,
39,(Principal) No. Of Workers In The Enterprise,5.1,10,1,79,79.0,
40,(Principal)  Type Of Job Contract,5.1,11,1,80,80.0,
41,(Principal) Eligble Of Paid Leave,5.1,12,1,81,81.0,
42,(Principal) Social Security Benefits,5.1,13,1,82,82.0,
43,(Principal) Usage of product of the economic activity,5.1,14,1,83,83.0,
44,Status Code,5.2,3,2,84,85.0,
45,Industry Code (NIC),5.2,5,5,86,90.0,
46,Occupation Code (NCO),5.2,6,3,91,93.0,
47,(Subsidiary) location Of Workplace Code,5.2,7,2,94,95.0,
48,(Subsidiary)  Enterprise Type Code,5.2,8,2,96,97.0,
49,(Subsidiary)  No. Of Workers In The Enterprise,5.2,9,1,98,98.0,
50,(Subsidiary)   Type Of Job Contract,5.2,10,1,99,99.0,
51,(Subsidiary)  Eligble Of Paid Leave,5.2,11,1,100,100.0,
52,(Subsidiary)  Social Security Benefits,5.2,12,1,101,101.0,
53,(Subsidiary) Usage of product of the economic activity,5.2,13,1,102,102.0,
54,Ever Worked Prior to last 365 days,5.3,5,1,103,103.0,
55,Duration of engagement in the economic activity in usual Principal Activity Status,5.3,6,1,104,104.0,
56,Duration of engagement in the economic activity in Subsidiary Activity Status,5.3,7,1,105,105.0,
57,Efforts undertaken to search work,5.3,8,1,106,106.0,
58,Duration of spell of Unemployment,5.3,9,1,107,107.0,
59,Whether Ever Worked ,5.3,10,1,108,108.0,
60, Reason for not working in last 365 days,5.3,11,2,109,110.0,
61,Main reason for being in Principal activity status (91 to 97) ,5.3,12,1,111,111.0,
62,Status Code for activity 1,6,4/3.1,2,112,113.0,
63,Industry Code (NIC) for activity 1,6,5/3.1,2,114,115.0,
64,hours actuallly worked for activity 1 on 7 th day,6,6/3.1,2,116,117.0,
65,wage earning for activity 1 on 7 th day,6,9/3.1,5,118,122.0,
66,Status Code for activity 2,6,4/3.1,2,123,124.0,
67,Industry Code (NIC) for activity 2,6,5/3.1,2,125,126.0,
68,hours actuallly worked for activity 2 on 7 th day,6,6/3.1,2,127,128.0,
69,wage earning for activity 2 on 7 th day,6,9/3.1,5,129,133.0,
70,total hours actually worked on 7th day,6,7/3.1,2,134,135.0,
71,hours available for aditional worked on 7th day,6,8/3.1,2,136,137.0,
72,Status Code for activity 1,6,4/3.2,2,138,139.0,
73,Industry Code (NIC) for activity 1,6,5/3.2,2,140,141.0,
74,hours actuallly worked for activity 1 on 6 th day,6,6/3.2,2,142,143.0,
75,wage earning for activity 1 on 7 th day,6,9/3.2,5,144,148.0,
76,Status Code for activity 2,6,4/3.2,2,149,150.0,
77,Industry Code (NIC) for activity 2,6,5/3.2,2,151,152.0,
78,hours actuallly worked for activity 2 on 6 th day,6,6/3.2,2,153,154.0,
79,wage earning for activity 2 on 6 th day,6,9/3.2,5,155,159.0,
80,total hours actually worked on 6th day,6,7/3.2,2,160,161.0,
81,hours available for aditional worked on 6th day,6,8/3.2,2,162,163.0,
82,Status Code for activity 1,6,4/3.3,2,164,165.0,
83,Industry Code (NIC) for activity 1,6,5/3.3,2,166,167.0,
84,hours actuallly worked for activity 1 on5 th day,6,6/3.3,2,168,169.0,
85,wage earning for activity 1 on 5 th day,6,9/3.3,5,170,174.0,
86,Status Code for activity 2,6,4/3.3,2,175,176.0,
87,Industry Code (NIC) for activity 2,6,5/3.3,2,177,178.0,
88,hours actuallly worked for activity 2 on 5 th day,6,6/3.3,2,179,180.0,
89,wage earning for activity 2 on 5 th day,6,9/3.3,5,181,185.0,
90,total hours actually worked on 5th day,6,7/3.3,2,186,187.0,
91,hours available for aditional worked on 5th day,6,8/3.3,2,188,189.0,
92,Status Code for activity 1,6,4/3.4,2,190,191.0,
93,Industry Code (NIC) for activity 1,6,5/3.4,2,192,193.0,
94,hours actuallly worked for activity 1 on 4th day,6,6/3.4,2,194,195.0,
95,wage earning for activity 1 on 4th day,6,9/3.4,5,196,200.0,
96,Status Code for activity 2,6,4/3.4,2,201,202.0,
97,Industry Code (NIC) for activity 2,6,5/3.4,2,203,204.0,
98,hours actuallly worked for activity 2 on 4th day,6,6/3.4,2,205,206.0,
99,wage earning for activity 2 on 4th day,6,9/3.4,5,207,211.0,
100,total hours actually worked on 4th day,6,7/3.4,2,212,213.0,
101,hours available for aditional worked on 4th day,6,8/3.4,2,214,215.0,
102,Status Code for activity 1,6,4/3.5,2,216,217.0,
103,Industry Code (NIC) for activity 1,6,5/3.5,2,218,219.0,
104,hours actuallly worked for activity 1 on 3rd day,6,6/3.5,2,220,221.0,
105,wage earning for activity 1 on 3rd day,6,9/3.5,5,222,226.0,
106,Status Code for activity 2,6,4/3.5,2,227,228.0,
107,Industry Code (NIC) for activity 2,6,5/3.5,2,229,230.0,
108,hours actuallly worked for activity 2 on 3rd day,6,6/3.5,2,231,232.0,
109,wage earning for activity 2 on 3 rd day,6,9/3.5,5,233,237.0,
110,total hours actually worked on 3rd day,6,7/3.5,2,238,239.0,
111,hours available for aditional worked on 3rd day,6,8/3.5,2,240,241.0,
112,Status Code for activity 1,6,4/3.6,2,242,243.0,
113,Industry Code (NIC) for activity 1,6,5/3.6,2,244,245.0,
114,hours actuallly worked for activity 1 on 2nd day,6,6/3.6,2,246,247.0,
115,wage earning for activity 1 on 2nd day,6,9/3.6,5,248,252.0,
116,Status Code for activity 2,6,4/3.6,2,253,254.0,
117,Industry Code (NIC) for activity 2,6,5/3.6,2,255,256.0,
118,hours actuallly worked for activity 2 on 2nd day,6,6/3.6,2,257,258.0,
119,wage earning for activity 2 on 2nd day,6,9/3.6,5,259,263.0,
120,total hours actually worked on 2nd day,6,7/3.6,2,264,265.0,
121,hours available for aditional worked on 2nd day,6,8/3.6,2,266,267.0,
122,Status Code for activity 1,6,4/3.7,2,268,269.0,
123,Industry Code (NIC) for activity 1,6,5/3.7,2,270,271.0,
124,hours actuallly worked for activity 1 on 1st day,6,6/3.7,2,272,273.0,
125,wage earning for activity 1 on 1st day,6,9/3.7,5,274,278.0,
126,Status Code for activity 2,6,4/3.7,2,279,280.0,
127,Industry Code (NIC) for activity 2,6,5/3.7,2,281,282.0,
128,hours actuallly worked for activity 2 on 1st day,6,6/3.7,2,283,284.0,
129,wage earning for activity 2 on 1st day,6,9/3.7,5,285,289.0,
130,total hours actually worked on 1st day,6,7/3.7,2,290,291.0,
131,hours available for aditional worked on 1st day,6,8/3.7,2,292,293.0,
132,Current Weekly Status (CWS),6,5,2,294,295.0,
133,Industry Code (CWS),6,6,2,296,297.0,
134,Occupation Code (CWS),6,7,3,298,300.0,
135,Earnings For Regular Salaried/Wage Activity,6,9,8,301,308.0,
136,Earnings For Self Employed,6,10,8,309,316.0,
137,Ns count for sector x stratum x substratum x sub-sample,Generated,,3,317,319.0,NSS
138,Ns count for sector x stratum x substratum,Generated,,3,320,322.0,NSC
139,Sub-sample wise Multiplier,Generated,,10,323,332.0,MULT
140,count of contributing samples for State x Sector x Stratum x Sub-Stratum in 4 Quarters,Generated,,1,333,333.0,No_Qtr
